,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Ground,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 1,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 2,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3,B Level 3
,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12
Hang Walls & Ceilings,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,15/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/12/11,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,2/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12,14/02/12
,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,20/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,22/12/11,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,15/02/11,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12
Stop/ Sand Walls & Ceilings,17/01/12,17/01/12,17/01/12,17/01/12,17/01/12,17/01/12,17/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,23/01/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12
,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,24/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,9/02/12,9/02/12,9/02/12,9/02/12,9/02/12,9/02/12,9/02/12,9/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,17/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,18/02/12,18/02/12,18/02/12,18/02/12,18/02/12,18/02/12,18/02/12,18/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12,28/02/12
Carpentry 1st Fix,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,19/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,25/01/12,5/02/12,5/02/12,5/02/12,5/02/12,5/02/12,5/02/12,5/02/12,5/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,10/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12,20/02/12
,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,26/01/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,4/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,11/02/12,19/02/12,19/02/12,19/02/12,19/02/12,19/02/12,19/02/12,19/02/12,19/02/12,19/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,23/02/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12
Paint Sealer & First Coat,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,3/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,7/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,16/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,21/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12,1/03/12
,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,8/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12
Joinery & Robes,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,15/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,22/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,6/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12
,23/02/12,24/02/12,25/02/12,26/02/12,27/02/12,28/02/12,29/02/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,7/03/12,7/03/12,7/03/12,7/03/12,7/03/12,7/03/12,7/03/12,7/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,20/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12
Screed & Membrane Bathrooms,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,27/02/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,17/03/12,24/03/12,24/03/12,24/03/12,24/03/12,24/03/12,24/03/12,24/03/12,24/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12
,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,9/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,23/03/12,23/03/12,23/03/12,23/03/12,23/03/12,23/03/12,23/03/12,23/03/12,23/03/12,29/03/12,29/03/12,29/03/12,29/03/12,29/03/12,29/03/12,29/03/12,29/03/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12
Wall & Floor Tiles,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,8/03/12,18/03/12,18/03/12,18/03/12,18/03/12,18/03/12,18/03/12,18/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,22/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,2/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12
,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,19/03/12,24/03/11,24/03/11,24/03/11,24/03/11,24/03/11,24/03/11,24/03/11,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12
Fixtures & Fitting Fit Off,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12
,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12
Fit off Mechanical/ Hydronic Heating,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,7/04/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12
,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,11/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12
GPO's Lights & Appliances,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,5/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,14/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,21/03/12,7/04/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12
,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,15/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,11/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12
Install Mirrors,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,27/03/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,20/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12
,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,28/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,1/05/12,1/05/12,1/05/12,1/05/12,1/05/12,1/05/12,1/05/12,1/05/12,1/05/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12,28/04/12
Balcony Membrane,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,14/03/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12
,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,31/03/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12
Hardware/ Final Fix,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,26/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,30/03/12,14/03/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,7/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,10/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12
,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,31/03/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,4/04/12,31/03/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,16/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,26/04/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12,2/05/12
Lay Carpet & Protect,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,5/04/12,8/04/12,8/04/12,8/04/12,8/04/12,8/04/12,8/04/12,8/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,17/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,5/05/12,5/05/12,5/05/12,5/05/12,5/05/12,5/05/12,5/05/12,5/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12
,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,9/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,3/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12
Final Paint Finish,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,6/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,11/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,18/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,23/04/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,7/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12
,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,19/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,24/04/12,9/05/12,9/05/12,9/05/12,9/05/12,9/05/12,9/05/12,9/05/12,9/05/12,9/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,21/05/12,21/05/12,21/05/12,21/05/12,21/05/12,21/05/12,21/05/12,21/05/12,21/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12
Permanent Power,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,12/04/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,2/03/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12,10/05/12
,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,13/04/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,3/03/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,15/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12,11/05/12
80% Clean,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,14/04/12,22/04/12,22/04/12,22/04/12,22/04/12,22/04/12,22/04/12,22/04/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,4/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,8/05/12,16/05/12,16/05/12,16/05/12,16/05/12,16/05/12,16/05/12,16/05/12,16/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,18/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,12/05/12,17/05/12,17/05/12,17/05/12,17/05/12,17/05/12,17/05/12,17/05/12,17/05/12
